0,1,2,source,0_syllables,1_syllables,2_syllables
he died: the creatures of his kind,fared on,not one had known his mind,img2poems,8,2,6
ah god,rain fire upon this foul-souled city,that gives such death and spares its men for pity,img2poems,2,"8,9",11
rounded strengthy limbs,that knit me to my kind,your glory turns to grief,img2poems,5,6,6
shall i for my soul sing hymns,yet for my body find,no clear divine belief,img2poems,7,6,6
yet while sin remains,on this saddened earth,humbly walk my ways,img2poems,5,5,5
for my garments are as chains,and i fear to praise,my frame with careless mirth,img2poems,7,5,6
gently sweetly she doth sorrow,what has been must be to-morrow,meekly to her fate she bows,img2poems,8,6,7
built in so brave a shape,how could he hope escape,the blundering people's wrath,img2poems,6,6,7
who seeing him strong,supposed it right to cast on him their wrong,since he could bear it all,img2poems,5,10,6
oh on these mortal faces frail,what immortality,falls from the death-light pale,img2poems,8,6,5
o herald gone before,for these throw wide the door,make room make room,img2poems,6,6,4
now while the dumb white air,draws from our still despair,a purer prayer,img2poems,6,"6,7","4,5"
his heart is alive like the main,when the roweled winds are spurring,and the broad tides shoreward strain,img2poems,8,8,7
come,far better than all were it,our precepts our prayers and our lays,img2poems,1,7,"8,9,10,11,12"
from orchard church and shop you hear the sea,and from the farm-house windows see it strike,sharp gleams through slender arching apple-boughs,img2poems,10,9,9
yet he would ponder an hour at a time,upon a bird found dead and much he loved,to brood i' th' shade of yon wind-wavered pines,img2poems,"10,11",10,10
ah what a desolate brightness that young day,flung o'er the impassive strand and dull green marsh,and green-arched orchard ere it struck the farm,img2poems,11,12,9
and jerry hailed him carelessly his mood,moving to salutation and the boy,from under his torn hat-brim looking answered,img2poems,10,10,10
i had an uncle,that was in love,but he he drowned himself,img2poems,5,4,6
his grave,yet if it should be,how can i think grace cried,img2poems,2,5,6
yes ruth,'t is after her,the deacon's nicest daughter's named she's ruth,img2poems,2,5,10
they reached the road-bend and the evening shone,upon them calmly,jerry paused o'erwhelmed,img2poems,9,5,6
none other mark desired he but the stone,set there long since though at a stranger's grave,in heavy memory of him thought dead,img2poems,11,10,10
introitus,part i,the divine tragedy,img2poems,3,2,6
pleasant it was when woods were green,and winds were soft and low,to lie amid some sylvan scene,img2poems,8,6,8
where the long drooping boughs between,shadows dark and sunlight sheen,alternate come and go,img2poems,8,7,6
and distant voices seemed to say,it cannot be,they pass away,img2poems,8,4,4
o holy night,from thee i learn to bear,what man has borne before,img2poems,4,6,6
peace,peace,orestes-like i breathe this prayer,img2poems,1,1,"8,7"
descend with broad-winged flight,the welcome the thrice-prayed for the most fair,the best-beloved night,img2poems,5,9,3
shall i have naught that is fair,saith he,have naught but the bearded grain,img2poems,7,2,7
o no,from that blue tent above,a hero's armor gleams,img2poems,2,6,6
death with frosty hand and cold,plucks the old man by the beard,sorely sorely,img2poems,7,7,4
he shall so hear the solemn hymn that death,has lifted up for all that he shall go,to his long resting-place without a tear,img2poems,10,10,9
through the gray mist thrust up its shattered lance,and rocking on the cliff was left,the dark pine blasted bare and cleft,img2poems,10,8,8
ye voices that arose,after the evening's close,and whispered to my restless heart repose,img2poems,6,6,10
go breathe it in the ear,of all who doubt and fear,and say to them be of good cheer,img2poems,6,6,8
ye sounds so low and calm,that in the groves of balm,seemed to me like an angel's psalm,img2poems,6,6,8
go mingle yet once more,with the perpetual roar,of the pine forest dark and hoar,img2poems,6,7,8
tongues of the dead not lost,but speaking from deaths frost,like fiery tongues at pentecost,img2poems,6,6,9
glimmer as funeral lamps,amid the chills and damps,of the vast plain where death encamps,img2poems,7,6,8
my deeds though manifold,no skald in song has told,no saga taught thee,img2poems,6,6,5
o father,i hear the church-bells ring,o say what may it be,img2poems,3,5,6
o father,i hear the sound of guns,o say what may it be,img2poems,3,6,6
o father,i see a gleaming light,o say what may it be,img2poems,3,6,6
o drooping souls whose destinies,are fraught with fear and pain,ye shall be loved again,img2poems,8,6,6
many a lesson deep and long,thou hast been a generous giver,i can give thee but a song,img2poems,8,9,7
how like quivering flames they start,when i fan the living embers,on the hearth-stone of my heart,img2poems,8,8,6
that my spirit leans to thee,thou hast been a generous giver,take this idle song from me,img2poems,7,9,7
but still above the noisy crowd,the beggar's cry is shrill and loud,until they say he calleth thee,img2poems,8,8,8
ye that have eyes yet cannot see,in darkness and in misery,recall those mighty voices three,img2poems,8,8,8
the battle of our life is brief,the alarm the struggle the relief,then sleep we side by side,img2poems,"8,9",9,6
thou whose locks outshine the sun,golden tresses wreathed in one,as the braided streamlets run,img2poems,7,7,7
standing with reluctant feet,where the brook and river meet,womanhood and childhood fleet,img2poems,7,7,7
gazing with a timid glance,on the brooklet's swift advance,on the river's broad expanse,img2poems,7,7,7
deep and still that gliding stream,beautiful to thee must seem,as the river of a dream,img2poems,7,7,7
then why pause with indecision,when bright angels in thy vision,beckon thee to fields elysian,img2poems,8,8,9
seest thou shadows sailing by,as the dove with startled eye,sees the falcon's shadow fly,img2poems,8,7,7
like the swell of some sweet tune,morning rises into noon,may glides onward into june,img2poems,7,7,7
childhood is the bough where slumbered,birds and blossoms many-numbered,age that bough with snows encumbered,img2poems,8,6,8
gather then each flower that grows,when the young heart overflows,to embalm that tent of snows,img2poems,8,7,7
bear a lily in thy hand,gates of brass cannot withstand,one touch of that magic wand,img2poems,7,7,7
bear through sorrow wrong and ruth,in thy heart the dew of youth,on thy lips the smile of truth,img2poems,7,7,7
o that dew like balm shall steal,into wounds that cannot heal,even as sleep our eyes doth seal,img2poems,7,7,"8,9"
and that smile like sunshine dart,into many a sunless heart,for a smile of god thou art,img2poems,7,8,7
a tear stood in his bright blue eye,but still he answered with a sigh,excelsior,img2poems,8,8,4
this was the peasant's last good-night,a voice replied far up the height,excelsior,img2poems,7,8,4
he a negro and enslaved,sang of israel's victory,sang of zion bright and free,img2poems,7,"8,6,7",7
but alas,what holy angel,brings the slave this glad evangel,img2poems,3,5,8
lara,you were not at the play tonight don carlos,how happened it,img2poems,2,11,4
the house was crowded and the busy fans,among the gayly dressed and perfumed ladies,fluttered like butterflies among the flowers,img2poems,10,11,11
lara,may not a saint fall from her paradise,and be no more a saint,img2poems,2,10,6
don c,you forget,she is a gypsy girl,img2poems,2,3,6
lara,and therefore won,the easier,img2poems,2,4,4
the only virtue that a gypsy prizes,is chastity,that is her only virtue,img2poems,11,4,7
lara,and does that prove,that preciosa is above suspicion,img2poems,2,4,11
but why this haste,stay yet a little longer,and fight the battles of your dulcinea,img2poems,4,7,11
fran,yes my lord,i saw him at the jeweller's to-day,img2poems,1,3,9
fran,i saw him buy,a golden ring that had a ruby in it,img2poems,1,4,11
fran,one so like it,i could not choose between them,img2poems,1,4,7
and hark,what songs of love what soul-like sounds,answer them from below,img2poems,2,7,6
prec,i am so frightened,'t is for thee i tremble,img2poems,1,"5,6",7
prec,i heed them not,when thou art present i see none but thee,img2poems,1,4,10
vict,there's nothing fair nor beautiful but takes,something from thee that makes it beautiful,img2poems,1,10,10
prec,a grave and reverend cardinal and his grace,the archbishop of toledo,img2poems,1,"11,12",8
vict,what mad jest,is this,img2poems,1,3,2
now viva la cachucha,it will breathe,the fire of youth into these gray old men,img2poems,7,3,"10,11"
prec,dost thou remember,when first we met,img2poems,1,5,4
dost thou still doubt,what i most prize in woman,is her affections not her intellect,img2poems,4,7,10
compare me with the great men of the earth,what am i,why a pygmy among giants,img2poems,10,"3,4",8
but if thou lovest mark me,i say lovest,the greatest of thy sex excels thee not,img2poems,7,4,10
prec,yes that i love thee as the good love heaven,but not that i am worthy of that heaven,img2poems,1,11,"11,12"
prec,it is a hateful sound,to scare thee from me,img2poems,1,6,5
and to remind thee of my love take this,a serpent emblem of eternity,a ruby say a drop of my heart's blood,img2poems,10,10,10
prec,hush,hush,img2poems,1,1,1
bal,and a pitcher of pedro ximenes with a roasted pear in,it,img2poems,1,15,1
hyp,i must have been asleep,ay sound asleep,img2poems,1,6,4
vict,come shrive me straight for if love be a sin,i am the greatest sinner that doth live,img2poems,1,10,"10,11"
vict,nay listen for my heart is full so full,that i must speak,img2poems,1,10,4
hyp,and therefore in madrid when thou shouldst be,in alcala,img2poems,1,10,4
vict,pray do not jest,this is no time for it,img2poems,1,4,6
vict,they quarrelled,and so the matter ended,img2poems,1,3,7
hyp,but in truth,thou wilt not marry her,img2poems,1,3,6
i'll stoop for it but when i wear it here,set on my forehead like the morning star,the world may wonder but it will not laugh,img2poems,10,10,10
hyp,if thou wear'st nothing else upon thy forehead,'t will be indeed a wonder,img2poems,1,11,8
hyp,which means in prose,she's sleeping with her mouth a little open,img2poems,1,4,11
vict,o would i had the old magician's glass,to see her as she lies in childlike sleep,img2poems,1,10,10
hark,how the loud and ponderous mace of time,knocks at the golden portals of the day,img2poems,1,10,10
and so once more good night,we'll speak more largely,of preciosa when we meet again,img2poems,6,5,10
must read or sit in revery and watch,the changing color of the waves that break,upon the idle sea-shore of the mind,img2poems,10,10,9
visions of fame,that once did visit me,making night glorious with your smile where are ye,img2poems,4,6,12
o who shall give me now that ye are gone,juices of those immortal plants that bloom,upon olympus making us immortal,img2poems,10,10,"11,12"
prec,why will you go so soon,stay yet awhile,img2poems,1,6,4
prec,the count of lara,o beware that man,img2poems,1,5,5
ang,alas,what can i do,img2poems,1,2,4
i cannot choose my friends,each word of kindness,come whence it may is welcome to the poor,img2poems,6,5,10
no one can harm you,i am a poor girl,whom chance has taken from the public streets,img2poems,5,"5,6",10
